"Find School/District Results"

"OrganizationType","District","OrganizationCode","OrganizationName","Street","City","State","ZIP","Phone","Fax","Website","Education Program","Program Type","Inter-District Magnet","Pre Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12"
"Public Schools","Simsbury School District",="1280311","Tariffville School","42 Winthrop St.","Tariffville","CT","06081-9623","860-658-5825",,"http://www.simsbury.k12.ct.us/page.cfm?p=161",,,,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Public Schools","Simsbury School District",="1280411","Tootin' Hills School","25 Nimrod Rd.","West Simsbury","CT","06092-2520","860-658-7629",,"http://www.simsbury.k12.ct.us/page.cfm?p=39",,,,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Program","Somers School District",="1290511","Aspire","5 Vision Blvd","Somers","CT",="06071","860-749-2270 x4103",,"http://www.somers.k12.ct.us",,"Alternative",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Somers School District",="1295111","Mabelle B. Avery Middle School","1 Vision Boulevard","Somers","CT","06071-9609","860-749-2270",,"http://www.somers.k12.ct.us/sms/sms_home.html",,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Somers School District",="1290411","Somers Elementary School","4 Vision Boulevard","Somers","CT","06071-9609","860-749-2270",,"http://www.somers.k12.ct.us/ses/ses_home.html",,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Somers School District",="1296111","Somers High School","5 Vision Boulevard","Somers","CT",="06071","860-749-2270",,"http://www.somers.k12.ct.us/shs/shs_home.html",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public School Districts","Somers School District",="1290011","Somers School District","1 Vision Blvd","Somers","CT",="06071","860-749-2270",,"http://www.somers.k12.ct.us/",,,,,,,,,,,,,,,,,
"Program","South Windsor School District",="1320311","Alternative Education Program","91 Ayers Road","South Windsor","CT",="06074","860-648-5000","860-648-5013","http://southwindsorschools.org",,"Alternative",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","South Windsor School District",="1320711","Eli Terry School","569 Griffin Rd.","South Windsor","CT","06074-1382","860-648-5020","860-648-0142","http://et.southwindsorschools.org/home",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","South Windsor School District",="1320611","Orchard Hill School","380 Foster St.","South Windsor","CT","06074-2939","860-648-5015","860-648-0141","http://oh.southwindsorschools.org/home",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","South Windsor School District",="1320111","Philip R. Smith School","350 Foster Street","South Windsor","CT","06074-2306","860-648-5025","860-648-5014","http://prs.southwindsorschools.org/home",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","South Windsor School District",="1320211","Pleasant Valley School","591 Ellington Rd.","South Windsor","CT","06074-4118","860-610-0291","860-282-2287","http://pv.southwindsorschools.org/home",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","South Windsor School District",="1320511","Preschool Outreach Program","100 Arnold Way","South Windsor","CT",="06043","860-291-1205",,"http://www.southwindsorschools.org/",,"Pre-Kindergarten",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","South Windsor School District",="1329011","Project Worth Young Adult Academy","1137 Main Street","East Hartford","CT","06108-2218","860-218-1839",,,,"Transition Community-Based",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","South Windsor School District",="1326211","South Windsor High School","161 Nevers Rd.","South Windsor","CT","06074-2129","860-648-5000","860-648-5013","http://highschool.southwindsorschools.org/home",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public School Districts","South Windsor School District",="1320011","South Windsor School District","1737 Main Street","South Windsor","CT",="06074","860-291-1200","860-291-1291","http://www.southwindsorschools.org/",,,,,,,,,,,,,,,,,
"Public Schools","South Windsor School District",="1325111","Timothy Edwards School","100 Arnold Way","South Windsor","CT","06074-3028","860-648-5030","860-648-5029","http://tems.southwindsorschools.org/home",,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Colleges and Universities","Southern Connecticut State University",="7030038","Southern Connecticut State University","501 Crescent St.","New Haven","CT",="06515","203-392-5200",,,,,,,,,,,,,,,,,,,
"Program","Southington School District",="1311711","Achieve","720 Pleasant St.","Southington","CT",="06489","860-628-3229","860-628-3397","http://www.southingtonschools.org",,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Southington School District",="1310111","Alta","242 Main Street","Southington","CT",="06489","860-628-3379","860-628-3458","http://www.southingtonschools.org",,"Alternative",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Southington School District",="1311511","Derynoski Elementary School","240 Main St.","Southington","CT","06489-2528","860-628-3286",,"http://www.southingtonschools.org/our_schools/w__a__derynoski/index.html",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Southington School District",="1310511","EASE","1071 South Main St.","Plantsville","CT",="06479","860-628-3275","860-628-3404","http://www.southingtonschools.org",,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Southington School District",="1311311","Flanders Elementary School","100 Victoria Dr.","Southington","CT","06489-2741","860-628-3372",,"http://www.southingtonschools.org/our_schools/flanders/index.html",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Southington School District",="1310211","Hatton Elementary School","50 Spring Lake Rd.","Southington","CT","06489-4424","860-628-3377",,"http://www.southingtonschools.org/our_schools/hatton/index.html",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Southington School District",="1315311","John F. Kennedy Middle School","1071 South Main St.","Plantsville","CT","06479-1672","860-628-3275",,"http://www.southingtonschools.org/our_schools/john_f__kennedy/index.html",,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Southington School District",="1315111","Joseph A. Depaolo Middle School","385 Pleasant St.","Southington","CT","06489-2708","860-628-3260",,"http://www.southingtonschools.org/our_schools/joseph_a__depaolo/index.html",,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Southington School District",="1312311","Language Based Classroom II","501 Ridgewood Road","Southington","CT",="06489","860-628-3310 x307","860-628-3335","http://www.southingtonschools.org",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Southington School District",="1310411","Language Based Classroom at Hatton School","50 Spring Lake Road","Southington","CT",="06489","860-628-3377 x368","860-628-3210","http://www.southingtonschools.org",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Southington School District",="1311811","Language Based Classroom, Multihandicapped","50 Spring Lake Road","Southington","CT",="06489","860-628-3377","860-628-3210",,,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Southington School District",="1310611","Plantsville Elementary School","70 Church Street","Southington","CT",="06479","860-628-3450",,"http://www.southingtonschools.org/our_schools/plantsville/index.html",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Southington School District",="1312211","STELLAR","2279 Mount Vernon Rd","Southington","CT",="06489","860-628-3200 x208","860-628-3332","http://www.southingtonschools.org",,"Transition Community-Based",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Southington School District",="1310711","South End Elementary School","10 Maxwell-Noble Drive","Plantsville","CT",="06479","860-628-3320",,"http://www.southingtonschools.org/our_schools/south_end/index.html",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Adult Education Providers","Southington School District",="1310117","Southington Adult Education","Southington High School 720 Pleasant Str","Southington","CT",="06489","860-628-3229",,"http://www.southingtonschools.org",,,,,,,,,,,,,,,,,
"Public Schools","Southington School District",="1316211","Southington High School","720 Pleasant Street","Southington","CT","06489-2713","860-628-3229",,"http://www.southingtonschools.org/our_schools/southington_high_school/index.html",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Southington School District",="1312111","Southington Public Schools Preschool Program","820 Marion Ave","Plantsville","CT",="06479","860-628-3314","860-628-3322","http://www.southingtonschools.org",,,,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Southington School District",="1312011","Southington Public Schools Preschool Program at Hatton School","50 Spring Lake Rd","Southington","CT",="06489","860-628-3377 x300","860-628-3210","http://www.southingtonschools.org",,,,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public School Districts","Southington School District",="1310011","Southington School District","200 North Main Street","Southington","CT",="06489","860-628-3202",,"http://www.southingtonschools.org",,,,,,,,,,,,,,,,,
"Public Schools","Southington School District",="1310811","Strong Elementary School","820 Marion Ave.","Plantsville","CT","06479-1461","860-628-3314",,"http://www.southingtonschools.org/our_schools/strong/index.html",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Southington School District",="1310911","Thalberg Elementary School","145 Dunham Rd.","Southington","CT","06489-1258","860-628-3370",,"http://www.southingtonschools.org/our_schools/thalberg/index.html",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Southington School District",="1311611","Therapeutic Educational Alternative Model (TEAM)","385 Pleasant St.","Southington","CT",="06489","860-628-3260","860-628-3403","http://www.southingtonschools.org",,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Southington School District",="1311211","Therapeutic Educational Setting (TEP)","720 Pleasant St.","Southington","CT",="06489","860-628-3229","860-628-3397","http://www.southingtonschools.org",,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Southington School District",="1311411","Urbin T. Kelley School","501 Ridgewood Rd.","Southington","CT","06489-2352","860-628-3310",,"http://www.southingtonschools.org/our_schools/kelley/index.html",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Sprague School District",="1330111","Sayles School","25 Scotland Road","Baltic","CT","06330-1110","860-822-8264","860-822-1347","http://www.saylesschool.org",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public School Districts","Sprague School District",="1330011","Sprague School District","25 Scotland Road","Baltic","CT",="06330","860-822-8264","860-822-1347","http://www.saylesschool.org",,,,,,,,,,,,,,,,,
"Public Schools","Stafford School District",="1340611","Stafford Elementary School","11 Levinthal Run","Stafford Springs","CT",="06076","860-684-6677",,"http://www.stafford.k12.ct.us",,,,="0",="0",="0",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stafford School District",="1346111","Stafford High School","145 Orcuttville Rd.","Stafford Springs","CT","06076-3719","860-684-4233",,"http://www.stafford.k12.ct.us",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Stafford School District",="1345211","Stafford Middle School","21 Levinthal Run","Stafford Springs","CT","06076-3719","860-684-2785",,"http://www.stafford.k12.ct.us",,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public School Districts","Stafford School District",="1340011","Stafford School District","16 Levinthal Run","Stafford Springs","CT",="06076","860-684-2208 x3","860-684-5172","http://www.stafford.k12.ct.us",,,,,,,,,,,,,,,,,
"Program","Stafford School District",="1340211","Stafford Tutoring Program","10 Levinthal Run","Stafford Springs","CT",="06076","860-684-4212","860-851-8836","http://www.stafford.k12.ct.us",,"Alternative",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Public Schools","Stafford School District",="1340311","Staffordville School","21 Lyons Rd.","Stafford Springs","CT",="06076","860-684-3298",,"http://www.stafford.k12.ct.us",,,,="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stafford School District",="1340411","West Stafford School","153 West Stafford Rd.","Stafford Springs","CT","06076-1017","860-684-3181",,"http://www.stafford.k12.ct.us",,,,="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Charter Schools","Stamford Academy District",="2826013","Stamford Academy","229 North St.","Stamford","CT",="06901","203-324-6300",,"http://https:",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Charter School Districts","Stamford Academy District",="2820013","Stamford Academy District","229 North St.","Stamford","CT",="06901","203-324-6300",,,,,,,,,,,,,,,,,,,
"Public Charter Schools","Stamford Charter School for Excellence District",="2960113","Stamford Charter School for Excellence","1 Schuyler Ave.","Stamford","CT",="06902","203-989-0000","203-323-1422","http://www.stamfordexcellence.org",,,,="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Charter School Districts","Stamford Charter School for Excellence District",="2960013","Stamford Charter School for Excellence District","1 Schuyler Ave.","Stamford","CT",="06902","203-989-0000",,"http://www.stamfordexcellence.org/",,,,,,,,,,,,,,,,,
"Program","Stamford School District",="1350411","Alternate Routes To Success","83 Lockwood Avenue","Stamford","CT",="06902","203-977-5620",,"http://stamfordpublicschools.org",,"Alternative",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Program","Stamford School District",="1350111","Apples PreK","381 High Ridge Road","Stamford","CT",="06905","203-977-5094","203-977-8850","http://stamfordpublicschools.org",,"Pre-Kindergarten",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1355611","Cloonan School","11 West North St.","Stamford","CT","06902-2217","203-977-4544",,"http://www.cloonanms.org",,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1352011","Davenport Ridge School","1300 Newfield Ave.","Stamford","CT","06905-1413","203-977-4291",,"http://www.davenportridge.org",,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1355311","Dolan School","51 Toms Rd.","Stamford","CT","06906-1022","203-977-4441",,"http://www.dolanms.org/",,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1352211","Hart School","61 Adams Ave.","Stamford","CT","06902-3018","203-977-5082",,"http://www.hartschool.org/",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Stamford School District",="1350211","Individuals Achieving Independence","5 Riverbend Drive","Stamford","CT",="06907","203-355-0794",,"https://www.stamfordpublicschools.org/individuals-achieving-independence-iai",,"Transition Community-Based",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Stamford School District",="1351211","Julia A. Stark School","398 Glenbrook Rd.","Stamford","CT","06906-2122","203-977-4583",,"http://www.starkschool.org/",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1350511","K. T. Murphy School","19 Horton St.","Stamford","CT","06902-6216","203-977-4516",,"http://www.ktmurphy.org/",,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1350611","Newfield School","345 Pepper Ridge Rd.","Stamford","CT","06905-2801","203-977-4282",,"http://www.newfieldschool.org/",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1351811","Northeast School","82 Scofieldtown Rd.","Stamford","CT","06903-4020","203-977-4469",,"http://www.northeastelementary.org",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Stamford School District",="1358011","Preschool Team","381 High Ridge Road","Stamford","CT",="06905","203-977-6668",,"http://stamfordpublicschools.org",,"Pre-Kindergarten",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1355811","Rippowam Middle School","381 High Ridge Rd.","Stamford","CT",="06905","203-977-5255",,"http://www.rippowamib.org/",,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1350811","Rogers International School","202 Blachley Road","Stamford","CT",="06902","203-977-4560",,"http://www.rogersinternationalschool.org",,,"Yes",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1350911","Roxbury School","751 Westhill Rd.","Stamford","CT","06902-1413","203-977-4287",,"http://www.roxburyschool.org/",,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Adult Education Providers","Stamford School District",="1350217","STAMFORD/LV","141 Franklin Street","Stamford","CT",="06901","203-324-5214","203-348-8917","http://www.lvsg.org",,,,,,,,,,,,,,,,,
"Public Schools","Stamford School District",="1355711","Scofield Middle School","641 Scofieldtown Rd.","Stamford","CT",="06903","203-977-2750",,"http://www.magnetmiddle.org/",,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1351111","Springdale School","1127 Hope St.","Stamford","CT",="06907","203-977-4575",,"http://www.springdaleschool.net",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Adult Education Providers","Stamford School District",="1350117","Stamford Adult Education","369 Washington Blvd.","Stamford","CT",="06902","203-977-4209","203-324-9441","http://www.stamfordadulted.org",,,,,,,,,,,,,,,,,
"Public Schools","Stamford School District",="1356111","Stamford High School","55 Strawberry Hill Ave.","Stamford","CT","06902-2608","203-977-4223",,"http://www.stamfordhigh.org/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public School Districts","Stamford School District",="1350011","Stamford School District","888 Washington Boulevard, Box 9310","Stamford","CT",="06901","203-977-4543",,"http://www.stamfordpublicschools.org",,,,,,,,,,,,,,,,,
"Public Schools","Stamford School District",="1352111","Stillmeadow School","800 Stillwater Rd.","Stamford","CT",="06902","203-977-4507",,"http://www.stillmeadowct.org",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1350711","Strawberry Hill an ext. of Rogers International","200 Strawberry Hill Avenue","Stamford","CT",="06902","203-977-6600",,"http://www.stamfordpublicschools.org",,,"Yes",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1356411","The Academy of Information Technology","411 High Ridge Road","Stamford","CT",="06905","203-977-4336",,"http://www.aitestamford.org",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Stamford School District",="1351911","Toquam Magnet School","123 Ridgewood Ave.","Stamford","CT","06907-2620","203-977-4556",,"http://www.toquamschool.org/",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1355511","Turn of River School","117 Vine Rd.","Stamford","CT","06905-2016","203-977-4284",,"http://www.toronline.org",,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Stamford School District",="1356311","Westhill High School","125 Roxbury Rd.","Stamford","CT","06902-1215","203-977-4477",,"http://www.westhillweb.com/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Stamford School District",="1351411","Westover School","412 Stillwater Ave.","Stamford","CT",="06902","203-977-4572",,"http://www.westovermagnet.org/",,,,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Sterling School District",="1360311","Sterling Community School","251 Sterling Rd.","Sterling","CT",="06377","860-564-2728","860-564-1989","http://www.sterlingschool.org",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public School Districts","Sterling School District",="1360011","Sterling School District","251 Sterling Road","Sterling","CT",="06377","860-564-4219","860-564-1989","http://www.sterlingschool.org",,,,,,,,,,,,,,,,,
"Program","Stonington School District",="1370811","Community Classroom","176 South Broad St","Pawcatuck","CT",="06379","860-599-5781",,"http://stoningtonhigh.org",,"Public School-Based Transition Program",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Stonington School District",="1370511","Deans Mill School","35 Deans Mill Rd.","Stonington","CT","06378-2104","860-535-2235",,"http://dms.stoningtonschools.org",,,,="0",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stonington School District",="1375211","Mystic Middle School","204 Mistuxet Ave.","Mystic","CT","06355-3009","860-536-9613",,"http://mms.stoningtonschools.org",,,,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Stonington School District",="1375111","Pawcatuck Middle School","40 Field St.","Pawcatuck","CT","06359-2159","860-599-5696",,"http://pms.stoningtonschools.org",,,,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="0",="0",="0",="0"
"Program","Stonington School District",="1370711","SAILS","176 South Broad St","Pawcatuck","CT",="06379","860-599-5781",,"http://stoningtonhigh.org",,"Alternative",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1"
"Public Schools","Stonington School District",="1370111","Stonington BOE Pre-School","49 North Stonington Rd","Old Mystic","CT",="06372","860-572-0506",,,,,,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stonington School District",="1370211","Stonington HS PreK","176 South Broad St","Pawcatuck","CT",="06379","860-599-5781",,,,,,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stonington School District",="1376111","Stonington High School","176 South Broad St.","Pawcatuck","CT","06379-1924","860-599-5781",,"http://stoningtonhigh.org/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public School Districts","Stonington School District",="1370011","Stonington School District","49 North Stonington Road","Old Mystic","CT",="06372","860-572-0506",,"http://www.stoningtonschools.org",,,,,,,,,,,,,,,,,
"Public Schools","Stonington School District",="1370411","West Broad Street School","131 West Broad St.","Pawcatuck","CT","06379-1827","860-599-5633",,"http://wbs.stoningtonschools.org",,,,="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Stonington School District",="1370611","West Vine Street School","17 West Vine St.","Pawcatuck","CT",="06379","860-599-5832",,"http://wvs.stoningtonschools.org",,,,="0",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Stratford School District",="1380611","ABA - K-6","65 Second Hill Lane","Stratford","CT",="06614","203-385-4292","203-385-4291",,,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Program","Stratford School District",="1380511","ALPHA","469 Birdseye Street","Stratford","CT",="06615","203-385-4298",,"http://www.stratfordk12.org/District/",,"Alternative",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Stratford School District",="1386211","Bunnell High School","1 Bulldog Blvd.","Stratford","CT","06614-2333","203-385-4250",,"http://bunnellhigh.stratfordk12.org/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Stratford School District",="1380311","Chapel School","380 Chapel St.","Stratford","CT","06614-1690","203-385-4192",,"http://chapelstreet.stratfordk12.org/",,,,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Program","Stratford School District",="1382311","DLC Whitney","1130 Huntington Road","Stratford","CT",="06614","203-385-4199",,"http://eliwhitney.stratfordk12.org/",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Public Schools","Stratford School District",="1385211","David Wooster Middle School","150 Lincoln St.","Stratford","CT","06615-4000","203-385-4275",,"http://woostermiddle.stratfordk12.org/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0"
"Public Schools","Stratford School District",="1381311","Eli Whitney School","1130 Huntington Rd.","Stratford","CT","06615-2738","203-385-4198",,"http://eliwhitney.stratfordk12.org/",,,,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Public Schools","Stratford School District",="1380411","Franklin School","1895 Barnum Ave.","Stratford","CT","06615-5307","203-385-4190",,"http://franklin.stratfordk12.org/",,,,="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Public Schools","Stratford School District",="1385311","Harry B. Flood Middle School","490 Chapel St.","Stratford","CT","06614-1690","203-385-4280",,"http://floodmiddle.stratfordk12.org/",,,,="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0"
"Program","Stratford School District",="1380711","High School Sails","1 Bulldog Blvd","Stratford","CT",="06614","203-385-4250","203-381-2014",,,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Stratford School District",="1382711","IPP Class Room - Second Hill Lane","65 Second Hill Lane","Stratford","CT",="06614","203-385-4292",,"http://secondhilllane.stratfordk12.org/",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Public Schools","Stratford School District",="1380811","Lordship School","254 Crown St.","Stratford","CT","06615-7511","203-385-4170",,"http://lordship.stratfordk12.org/",,,,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Program","Stratford School District",="1381811","Middle School Sails","490 Chapel Street","Stratford","CT",="06614","203-385-4280","203-381-2033",,,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0"
"Public Schools","Stratford School District",="1380911","Nichols School","396 Nichols Ave.","Stratford","CT","06614-3906","203-385-4294",,"http://nichols.stratfordk12.org/",,,,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Program","Stratford School District",="1381911","STEPS 7-8","150 Lincoln Street","Stratford","CT",="06614","203-385-4275","203-381-6918",,,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0"
"Program","Stratford School District",="1382011","STEPS 9-12","1 Bulldog Boulevard","Stratford","CT",="06614","203-385-4298",,,,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Stratford School District",="1382811","STEPS K-6","380 Chapel Street","Stratford","CT","06614-1690","203-385-4192",,"https://www.stratfordk12.org/chapelstreet",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
