Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Population,Moody's_Bond_Ratings,area lmt,ACGLFY,EGL,TANF Recipients,empl,ACMR,enrollmt,RPA Identifier
HARTFORD,VR,2007,65,64,H,815601000,43920000,924841000,78127000,250108000,231638000,504928000,279086000,26775000,475892000,9952000,9952000,37736000,37736000,1252000,296000,1252000,0,,301103000,301103000,0,0,34467000,N,34467000,N,Y,229569000,219241000,0.955011347350905,248975000,227352000,0.913151922883824,124563,A2,17.309999999999999,3543536778,9210207486.28,6997,0.090316189218195,64.819999999999993,22408.12,Capital Region COG
HARTLAND,KE,2007,66,65,H,5763497,1225457,6999024,316284,1888407,4101917,6139809,4426362,397305,6309864,1389,408632,149242,149242,-317908,-400189,89335,0,,2491914,2491914,0,142121,615312,N,615312,N,N,4065260,4028827,0.991037965591377,4112185,4057669,0.986742814343226,2077,A3,33.020000000000003,190234450,272189257.14,3,0.032718120805369,21.25,352.79,Litchfield Hills Cncl of Elected Ofcls
HARWINTON,KE,2007,67,66,L,10587223,4503078,15090301,1127345,2632327,11674866,14846031,9731613,138750,13992422,5231,5231,221000,221000,637840,566657,637840,0,8012451.98,125000,8137451.98,0,0,2597787,N,2597787,N,N,11643562,11485049,0.986386210680202,12087497,11587943,0.958671840828585,5564,,30.74,466059275,862482397.12,6,0.039515615041428,24.9,950.75,Litchfield Hills Cncl of Elected Ofcls
HEBRON,KE,2007,68,67,T,44037991,7963702,52012125,700986,6776104,21310125,29229163,21795507,1650602,28441273,530000,530000,2335281,2335281,-1017391,474407,-1017391,0,15668695.76,9900320,25569015.76,158472,0,2756016,N,2597544,N,N,21278613,21079040,0.990620958236329,21583366,21177665,0.981203070920449,9232,A1,36.89,602335588,1210208622.76,10,0.035635964912281,34.89,2072.12,Capital Region COG
KENT,VR,2007,69,68,L,8190547,4350987,12619729,640829,701778,8184923,9511272,5915841,729628,9186509,456000,456000,1038955,1038955,-258192,117758,-258192,0,990138.39,6039716,7029854.39,1081908,458069,2944724,N,1862816,N,N,8136283,8038157,0.987939701704083,8355773,8128955,0.972854935144839,2952,A1,48.47,467432051,965153780.08,4,0.031446540880503,17.579999999999998,370.3,Northwestern CT COG
KILLINGLY,VR,2007,70,69,W,38554712,19614192,60909048,1591427,19913330,22938282,45975603,34059233,2433937,44505653,652115,12790869,6733543,12997126,-4611478,1838913,1263693,0,,16569289,16569289,496465,959429,7317070,N,6820605,N,N,22687607,22084125,0.973400367874849,23446843,22510195,0.960052276547423,17710,A1,48.52,822372318,1980051493.86,214,0.058560952279732,25.8,2642.5,Northeastern CT COG
KILLINGWORTH,KE,2007,71,70,M,28143755,3665824,31809579,-298523,2545854,16157113,19578414,14853727,3659070,21773204,0,3300714,530125,530125,-2724915,-3246142,575799,0,11246327.31,3427999,14674326.31,0,821658,3509733,Y,3509733,N,N,16121697,16033316,0.994517884810762,16180475,16064831,0.992852867422001,6443,A1,35.32,578203893,1152086133.58,6,0.031476323119777,27.63,1150.73,CT River Estuary RPA
LEBANON,KE,2007,72,71,NL,26567790,4663875,35722051,1881803,6780267,12502732,21619293,15806516,1475513,19768254,8660,8660,1448049,1448049,411650,405276,411650,0,,8345862,8345862,26964,0,3512343,N,3485379,N,N,12328300,12028168,0.975655037596424,12745481,12289419,0.964217749020221,7354,A1,54.1,484948361,945377954.74,22,0.040176497909893,25.3,1357.17,Windham Region COG
LEDYARD,VR,2007,73,72,NL,68672419,-11388125,57357631,820133,14635741,28413587,46029460,27661387,935098,44498427,645056,645056,2161690,2161690,14399,-39779,14399,0,,8895880,8895880,203425,0,3609611,N,3406186,N,N,28308141,27988116,0.988694948212954,28618239,28208437,0.985680390746614,15097,A1,38.14,1131338540,1622851875.71,47,0.03482880755608,24.98,2789.14,Southeastern CT COG
LISBON,KE,2007,74,73,NL,5834150,2042677,7881238,-364398,4298396,5569660,11399447,9138497,683386,11908850,0,0,7135,7135,-516538,-282924,-516538,0,,4955000,4955000,274328,0,1237752,N,963424,N,N,5552399,5444329,0.980536341138308,5671694,5507414,0.97103510873471,4205,A3,16.25,276185393,624130466.02,15,0.040031397174254,21.5,833.61,Southeastern CT COG
LITCHFIELD,VR,2007,75,74,L,26542000,9661000,36213000,7441000,2448000,21115000,25220000,15836000,2835000,24519000,473000,473000,586000,586000,588000,594000,588000,0,,31352000,31352000,247000,0,4260000,N,4013000,N,N,20962000,20707000,0.987835130235664,21395000,20947000,0.979060528160785,8671,Aa3,56.06,851822988,1723182546.21,14,0.038742023701003,23.9,1286.78,Litchfield Hills Cncl of Elected Ofcls
LYME,VR,2007,76,75,NL,4171293,1757991,5935284,384995,291839,7041409,7704848,5283567,680497,7739746,0,455000,54700,54700,-89598,-501778,365402,0,3753792.74,2204758,5958550.74,460919,303847,1344154,N,883235,N,N,6993056,6919454,0.989474987759286,7106847,6966062,0.980190230632515,2076,,31.85,507938634,882222975.14,2,0.035996488147498,13.75,309.89,CT River Estuary RPA
MADISON,KE,2007,77,76,NH,67250116,10540243,78527127,1163587,4817458,53907756,62008771,41242537,4658276,58833014,124100,124100,2674000,2674000,625857,188506,625857,0,,41271474,41271474,618450,300000,7731990,N,7113540,N,N,54147022,53891741,0.995285410156075,54588315,53877538,0.986979319658429,18793,Aa1,36.18,2430548879,4665396275.95,10,0.030076685589085,22.28,3947.2,South Central Regional COG
MANCHESTER,KE,2007,78,77,H,89227000,-3330000,90531000,26986000,38042000,105521000,149877000,94437000,5182000,145401000,1381000,1479000,4002000,4002000,1855000,3452000,1953000,0,,52956000,52956000,1045000,6852000,17343000,N,16298000,N,Y,114676000,112401000,0.980161498482682,117830000,113812000,0.965900025460409,55857,Aa2,27.25,2931425460,6485396556.09,712,0.044200282530215,40.14,7609.14,Capital Region COG
MANSFIELD,VR,2007,79,78,T,64693077,2797281,68129529,-285095,17608330,20551473,39738868,28212264,981482,38893733,2500,2500,685375,685375,162260,76926,162260,0,10745280,3165000,13910280,126765,0,1895889,N,1769124,N,N,20370550,20062383,0.984871935220208,20747744,20241878,0.975618264809899,24884,Aa3,44.46,883719752,1509256266.14,41,0.039112131649445,22.88,2000.71,Windham Region COG
MARLBOROUGH,KE,2007,80,79,H,22461091,1737378,24198469,-3881,3445362,15216950,19462742,13785208,1584147,19197623,13200,13200,149045,149045,129274,-52526,129274,0,9560871.07,12415000,21975871.07,428481,737853,2894000,N,2465519,N,N,15146318,15062369,0.994457464843931,15319824,15145888,0.988646344762185,6351,A1,23.28,607211001,867577130,8,0.033996683250415,24.71,1170.07,Capital Region COG
MERIDEN,VR,2007,81,80,NH,94127356,-30219646,70403772,12977637,62904894,103735166,178681624,99267133,18063938,176660066,100000,100000,439612,439612,1681946,199481,1681946,0,,82722012,82722012,7849611,0,11493579,N,3643968,Y,N,103692551,100818674,0.972284634023518,110149136,103634041,0.940852055344311,59225,A3,23.74,2420649275,5675975377.03,1442,0.055865565511304,42.2,9623.51,South Central Regional COG
MIDDLEBURY,VR,2007,82,81,NH,36815853,10826286,47642139,2966460,656010,22803736,24591182,14640597,2352608,26809715,420701,2920701,634964,634964,-2432796,264801,67204,0,9331768.83,4213299,13545067.83,0,0,3350117,Y,3350117,N,N,22597535,22388339,0.990742530103394,23170552,22656798,0.977827286980474,7252,A1,17.75,714921415,1573257836.93,11,0.035577169183517,31.32,1314.3,COG of Central Naugatuck Valley
MIDDLEFIELD,KE,2007,83,82,M,4004138,4681958,8686096,1112742,2189476,10124702,12747578,9544770,326044,12672058,219915,219915,729665,729665,-434230,94759,-434230,0,6336598.19,3405819,9742417.19,13387,0,738447,N,725060,N,N,10088729,9922361,0.98350951839424,10328851,10037708,0.971812644020133,4248,,12.7,312812420,709670887.58,8,0.041949152542373,32.35,748.41,Midstate RPA
MIDDLETOWN,VR,2007,84,83,M,236816000,35386000,273097000,27708000,32495000,84577000,124019000,66261000,12908000,106118000,716000,1267000,14047000,14047000,4570000,2732000,5121000,0,,81280000,81280000,1667000,2507000,18323000,N,16656000,N,N,89555000,87601000,0.978181006085646,92477000,89333000,0.966002357342907,47778,Aa3,40.9,2625362943,5612083176.6,500,0.045478522984175,31.8,5244.02,Midstate RPA
MILFORD,KE,2007,85,84,NH,113217000,31938000,145328000,8771000,21200000,131265000,164826000,95431000,9238000,161842000,149000,159000,2949000,2949000,184000,-1095000,194000,0,,68946000,68946000,1911000,2500000,15840000,N,13929000,N,N,131807000,129553000,0.982899239038898,137275000,130974000,0.954099435439811,55445,Aa2,22.56,3821450927,10519748990.65,184,0.038028873195425,34.36,7534.15,South Central Regional COG
MONROE,VR,2007,86,85,F,49708563,-4704937,45186929,-540946,10069616,54156712,68360264,47077818,5214007,67069237,208971,563219,796322,796322,703676,-1215816,1057924,0,,49353793,49353793,1501972,370000,3643660,N,2141688,N,N,53915213,53543525,0.993106064516522,54399765,53829740,0.98952155399936,19402,Aa3,26.13,2069583020,3849660841.37,14,0.036949536949537,26.08,4191.71,Greater Bridgeport RPA
MONTVILLE,KE,2007,87,86,NL,39638528,-922842,38715686,-2466320,18635799,31240690,54195321,35226227,3494681,53475367,0,0,793838,793838,-73884,2263862,-73884,0,,31741810,31741810,2861234,1702800,10544719,Y,7683485,N,N,30893938,30259899,0.979476912266737,32120251,30751787,0.957395600675723,19744,Aa3,42.01,1028861890,2370496537.95,90,0.043218939254909,29.86,3011.23,Southeastern CT COG
MORRIS,VR,2007,88,87,L,5065373,2058952,7124325,123301,713584,6903917,7924913,5686077,0,7769597,0,0,0,0,155316,213639,155316,0,2576462.7,0,2576462.7,13422,200000,854778,N,841356,N,N,6860057,6812631,0.9930866463646,6910166,6850379,0.991347964723279,2345,Baa1,17.190000000000001,333132106,563191616.14,4,0.046403712296984,20.51,382.15,Litchfield Hills Cncl of Elected Ofcls
NAUGATUCK,VR,2007,89,88,NH,106308617,3342635,111366290,2633477,33473809,56471242,99348415,55174664,10631995,95317043,346758,394678,3334131,3334131,1043999,-3040020,1091919,0,,101926134,101926134,441663,650000,9781205,Y,9339542,N,N,55606711,53087905,0.95470320120174,62266637,55080403,0.884589334734747,31931,A1,16.39,1420809290,3091541653.65,270,0.051552431165788,38.799999999999997,5259.09,COG of Central Naugatuck Valley
NEW BRITAIN,VR,2007,90,89,H,121481000,-32020000,92195000,12809000,98569000,96757000,210670000,120623000,25485000,180101000,2692000,2692000,34374000,34374000,-1113000,2946000,-1113000,0,,183165000,183165000,1861000,0,10857000,N,8996000,N,N,95916000,92550000,0.964906793444264,104612000,95194000,0.909972087332237,70664,A3,13.34,2076801701,4598120973.86,2701,0.070735981308411,45.88,11230.13,Central CT RPA
NEW CANAAN,VR,2007,91,90,F,63674695,29379102,93053797,12095687,5597597,96004593,109274913,65091068,10337920,106085357,0,400000,2572500,2572500,617056,2103008,1017056,0,,148427801,148427801,1848630,2392374,14707171,N,12858541,N,N,96106161,95462039,0.993297807411119,96905741,95615131,0.986681800410566,19890,Aaa,22.13,6814008125,12506007056.75,6,0.028683473389356,14.044,4153.7299999999996,South Western RPA
NEW FAIRFIELD,KE,2007,92,91,F,34794623,17718029,52784078,3526954,7408868,35758558,45319780,28103170,2555320,42808477,6613,6613,1574765,1574765,943151,970551,943151,0,,14393751,14393751,951966,0,7072869,N,6120903,N,N,35538763,35332036,0.994183055836806,35827379,35535484,0.991852739213773,14100,Aa2,20.46,1812538473,2942648042.58,24,0.034496484012206,19.7,3025.18,Housatonic Council of Elected Ofcls
NEW HARTFORD,KE,2007,93,92,L,6495637,4495772,11001531,538649,3757718,15370192,19611422,14007269,739588,19162250,396309,3583309,255300,4055300,590181,-2357382,-22819,0,3870538.45,6537000,10407538.45,0,152710,2364544,N,2364544,N,N,15290426,15119089,0.988794491402659,15517620,15236414,0.981878277725579,6736,A2,37.020000000000003,560090348,1035775413.75,6,0.039480657127716,27.1,1156.29,Litchfield Hills Cncl of Elected Ofcls
NEW HAVEN,KE,2007,94,93,NH,590164856,-70483768,547502265,106377787,213875363,180637982,436041417,179948440,61153245,434342544,0,0,0,0,1698873,44281,1698873,0,,510692595,510692595,0,0,14722550,N,14722550,N,Y,179529208,176093542,0.980862913404041,183184502,177301202,0.967883200075517,123932,A3,18.850000000000001,3996816150,9996146562.27,5196,0.072524331560476,44.85,18928.27,South Central Regional COG
NEW LONDON,KE,2007,95,95,NL,163257915,27925113,191183028,16151323,36743503,37209179,79592864,40042646,3536876,75873391,52257,52257,1298379,1298379,2473351,2684909,2473351,0,,28725043,28725043,99038,145758,9412521,N,9313483,N,N,37641070,36762469,0.976658447807143,40895087,37209323,0.909872694487727,25923,A1,5.54,1252862082,2777889281.27,846,0.05724055902468,29.93,3453.33,Southeastern CT COG
NEW MILFORD,KE,2007,96,96,L,90671907,70670658,161342565,3742198,18839620,62962893,88046737,56479279,6970577,87640322,784772,810321,2255699,2255699,-1064512,1471071,-1038963,0,,43401704,43401704,1569800,2676047,14222004,N,12652204,N,N,62565016,61274088,0.979366616001505,64794388,62109736,0.958566596847863,28439,Aa2,61.58,2990086720,4310929064.29,71,0.036267519055815,20.87,4944.54,Housatonic Council of Elected Ofcls
NEWINGTON,KE,2007,97,94,H,48689000,24232000,73448000,4362000,15453000,66863000,88458000,53590000,3357000,84109000,82000,82000,3133000,3133000,1298000,1648000,1298000,0,,21048000,21048000,1763000,2000000,14706000,N,12943000,N,N,66006000,65488000,0.99215222858528,67506000,66330000,0.982579326282108,29619,Aa3,13.17,2564267853,3714043661.43,77,0.040745898165526,25.76,4577.9799999999996,Capital Region COG
NEWTOWN,VR,2007,98,97,F,114736321,20009514,141006691,7514186,10233003,82160198,96878619,62710766,8573096,96257409,0,0,155000,155000,466210,467737,466210,0,,65498578,65498578,2125554,3363961,8108821,N,5983267,N,N,81644015,80907427,0.990978052708456,82707696,81421980,0.984454699354701,26790,Aa2,57.76,2988388836,5624980765.01,23,0.031583380123526,27.3,5784.45,Housatonic Council of Elected Ofcls
NORFOLK,VR,2007,99,98,L,4118039,1980677,6098716,91582,855547,5585095,6716589,4098774,123218,6758455,2902,2902,157921,157921,-196885,120627,-196885,0,937377.28,230000,1167377.28,0,0,903218,N,903218,N,N,5572508,5454326,0.978791955076601,5748149,5521980,0.960653594748501,1652,A3,45.31,204998796,443272352.15,9,0.037154989384289,27.25,275.64,Litchfield Hills Cncl of Elected Ofcls
NORTH BRANFORD,VR,2007,100,99,NH,40790915,8459133,53880872,-492555,9533827,29698402,40329905,26964963,3177676,40327046,347911,351381,102130,102130,248640,677738,252110,0,,30150812,30150812,698426,350000,4967811,N,4269385,N,N,28733762,28437853,0.989701696561696,29002760,28609329,0.986434704834988,14406,A1,24.92,1258616408,1809274440,28,0.040253983467114,22.76,2544.62,South Central Regional COG
NORTH CANAAN,KE,2007,101,100,L,6473656,1078285,8968524,537936,2887860,6284927,9491938,6878547,383831,9265032,0,0,0,0,226906,111548,226906,0,1041352.7,1024894,2066246.7,0,0,490479,N,490479,Y,N,6324534,6204072,0.980953221217563,6551488,6293405,0.960606964402591,3352,A3,19.45,246280400,542283303.43,14,0.045664739884393,25.5,474.6,Northwestern CT COG
NORTH HAVEN,KE,2007,102,101,NH,57375303,24032618,81624263,4803229,6534654,64497427,77989783,41162636,3868236,74416364,47945,47945,350000,350000,3271364,2200732,3271364,0,,69396544,69396544,697435,3237472,12672549,N,11975114,N,N,64768681,63393779,0.978772116727219,68464028,64226864,0.938111090980507,24002,Aa2,20.77,2251249022,3270482531.43,80,0.039798719121683,28.7,3984.65,South Central Regional COG
NORTH STONINGTON,VR,2007,103,102,NL,5084647,5026708,10111355,-11310,5238396,11219645,17191184,11367059,905714,17483787,185000,185000,433000,433000,-540603,71014,-540603,0,,4095896,4095896,45450,0,1365535,N,1320085,N,N,11081447,10890440,0.982763352114575,11427503,11099088,0.971261000762809,5212,A3,54.3,592690695,847296935.71,13,0.038343558282209,18.600000000000001,820.69,Southeastern CT COG
NORWALK,VR,2007,104,103,F,215020453,31587090,246607543,21306563,28182974,215669320,263386839,145969257,20728101,259410031,0,655082,0,0,3976808,1230146,4631890,0,,183983249,183983249,1634117,0,37279871,N,35645754,N,N,216241703,212638561,0.98333743237307,219691266,213671586,0.972599365875565,83456,Aaa,22.81,9450742127,18873044732.8,539,0.037870779180399,23.164000000000001,10822.43,South Western RPA
NORWICH,VR,2007,105,104,NL,44114000,13808000,59647000,2917000,38859000,49920000,94872000,62507000,5041000,98887000,7173000,7173000,2371000,2371000,787000,318000,787000,0,,25098000,25098000,425000,2020000,12076000,N,11651000,N,Y,49971000,48177000,0.964099177522963,52011000,48899000,0.940166503239699,36432,A1,28.33,1791749846,3592741013.39,854,0.05168034388433,28.08,5609.38,Southeastern CT COG
OLD LYME,KE,2007,106,105,NL,7795442,1456952,12429810,817001,752590,26448743,28470621,21001614,128622,27682582,163109,163109,411705,411705,539443,-276013,539443,0,14921207.26,200000,15121207.26,413200,0,2817522,N,2404322,N,N,26305435,26077615,0.991339432326438,26669558,26304629,0.986316646117645,7384,Aa2,23.1,1478053400,2484347964.35,11,0.03500359625989,17.8,1248.01,CT River Estuary RPA
OLD SAYBROOK,VR,2007,107,106,M,63055783,5785427,72350417,5736691,2222643,29322921,32998186,18625046,2943951,31959985,65755,65755,1024502,1024502,79454,916961,79454,0,,23705000,23705000,83171,0,3197013,Y,3113842,N,N,29199765,28998757,0.993116108982384,29515735,29081636,0.985292624425582,10539,Aa3,15.04,1902197575,3405122465.5,21,0.036360314270053,15.35,1583.5,CT River Estuary RPA
ORANGE,VR,2007,108,107,NH,20971017,11242767,33714842,2719690,3071146,45896311,51265210,33059930,1817385,51279783,404000,404000,0,0,389427,2418495,389427,0,25820236.92,16555000,42375236.92,1064378,410000,10586605,N,9522227,N,N,46020121,45704770,0.99314754083328,46220558,45828427,0.99151609117311,13813,Aa2,17.190000000000001,1440492601,3153871254.32,11,0.033213396069748,31.9,2551.31,South Central Regional COG
OXFORD,VR,2007,109,108,NH,55476967,10654144,66132612,10025313,6293732,24760650,33099294,22803753,1677464,32469067,0,0,1167902,1167902,-537675,614020,-537675,0,,7175000,7175000,1043069,270650,4497520,N,3454451,N,N,24756757,24082517,0.97276541511475,29851444,24588795,0.823705379210466,12527,A1,32.89,1275901683,1826971397.14,14,0.03456190090455,19.37,2125.5700000000002,COG of Central Naugatuck Valley
PLAINFIELD,KE,2007,110,109,W,57958069,11600903,69558972,4462524,19581678,18398311,41268048,32023371,2594196,40729764,256344,635148,0,0,794628,1076195,1173432,0,,23367362,23367362,55945,830514,6268607,N,6212662,N,N,18433387,17902704,0.971210770977683,19419142,18256074,0.940107137586202,15450,A2,42.26,679825610,1627130810,182,0.059170174383644,26.9,2635.94,Northeastern CT COG
PLAINVILLE,VR,2007,111,110,H,32786878,20455493,54422820,4934761,13716585,35455951,51101404,31664818,4316600,49049799,315277,7398193,2152823,9143881,214059,-436479,305917,0,,45311683,45311683,1651887,1300000,6919231,N,5267344,N,N,35055339,34290418,0.97817961480846,36526893,35038359,0.95924827222507,17193,A1,9.76,958411700,2186591339.1,107,0.046761866452132,36.28,2633.3,Central CT RPA
PLYMOUTH,KE,2007,112,111,L,142349741,12133925,162487620,14830203,11224760,23186787,36156238,21655446,2786078,35077296,247557,247557,1038837,1038837,287662,305793,287662,0,,25189670,25189670,534791,0,2405810,N,1871019,N,N,22953247,22154884,0.965217862204855,24319379,22707552,0.933722526385234,12011,A2,21.72,554009711,1193896063.78,68,0.05470719051149,41.3,2040.69,Central CT RPA
POMFRET,KE,2007,113,112,W,8844562,2081329,11143926,457830,4027878,6445582,10868870,8607344,443742,10434376,70045,70045,458000,458000,46539,-100760,46539,0,,275270,275270,160000,262275,1474951,N,1314951,N,N,6398292,6362143,0.994350210962551,6459480,6398352,0.99053669954857,4165,,40.29,331276225,529806021.4,13,0.039964476021314,19.23,782.1,Northeastern CT COG
PORTLAND,KE,2007,114,113,M,50585714,6625867,57211581,1433171,5151017,22015390,28029065,17247657,3412714,27070687,0,0,1095433,1095433,-137055,116371,-137055,0,,27030713,27030713,91904,115100,2431327,N,2339423,N,N,22060959,21715104,0.984322757682474,22546948,21872896,0.970104512593013,9537,A2,23.4,562303490,1221758286.26,48,0.041862211376009,38.909999999999997,1470.66,Midstate RPA
